bin_name,slice,cluster_id,sct_ncount
bin-1670,58,1,1
bin-1671,58,15,15
bin-1672,58,1,1
bin-1673,58,1,1
bin-1674,58,1,1
bin-1675,58,1,1
bin-1676,58,1,1
bin-1677,58,1,1
bin-1678,58,1,1
bin-1679,58,1,1
bin-1680,58,34,34
bin-1681,58,1,1
bin-1682,58,1,1
bin-1683,58,1,1
bin-1684,58,1,1
bin-1696,58,3,3
bin-1697,58,3,3
bin-1698,58,3,3
bin-1699,58,3,3
bin-1700,58,3,3
bin-1701,58,3,3
bin-1702,58,3,3
bin-1703,58,3,3
bin-1704,58,3,3
bin-1705,58,3,3
bin-1706,58,2,2
bin-1707,58,2,2
bin-1708,58,2,2
bin-1709,58,2,2
bin-1710,58,29,29
bin-1711,58,34,34
bin-1712,58,0,0
bin-1716,58,19,19
bin-1717,58,1,1
bin-1718,58,1,1
bin-1719,58,1,1
bin-1720,58,1,1
bin-1721,58,4,4
bin-1722,58,1,1
bin-1723,58,1,1
bin-1724,58,1,1
bin-1725,58,1,1
bin-1726,58,1,1
bin-1727,58,1,1
bin-1728,58,0,0
bin-1729,58,1,1
bin-1730,58,1,1
bin-1731,58,1,1
bin-1732,58,1,1
bin-1733,58,11,11
bin-1745,58,3,3
bin-1746,58,3,3
bin-1747,58,3,3
bin-1748,58,3,3
bin-1749,58,3,3
bin-1750,58,3,3
bin-1751,58,3,3
bin-1752,58,3,3
bin-1753,58,3,3
bin-1754,58,3,3
bin-1755,58,3,3
bin-1756,58,2,2
bin-1757,58,32,32
bin-1765,58,6,6
bin-1766,58,5,5
bin-1767,58,4,4
bin-1768,58,1,1
bin-1769,58,1,1
bin-1770,58,1,1
bin-1771,58,1,1
bin-1772,58,1,1
bin-1773,58,1,1
bin-1774,58,22,22
bin-1775,58,1,1
bin-1776,58,1,1
bin-1777,58,1,1
bin-1778,58,1,1
bin-1779,58,1,1
bin-1780,58,0,0
bin-1781,58,1,1
bin-1782,58,8,8
bin-1794,58,3,3
bin-1795,58,3,3
bin-1796,58,3,3
bin-1797,58,3,3
bin-1798,58,3,3
bin-1799,58,3,3
bin-1800,58,3,3
bin-1801,58,3,3
bin-1802,58,3,3
bin-1803,58,3,3
bin-1804,58,3,3
bin-1805,58,3,3
bin-1814,58,5,5
bin-1815,58,1,1
bin-1816,58,4,4
bin-1817,58,4,4
bin-1818,58,1,1
bin-1819,58,1,1
bin-1820,58,1,1
bin-1821,58,1,1
bin-1822,58,1,1
bin-1823,58,1,1
bin-1824,58,18,18
bin-1825,58,1,1
bin-1826,58,1,1
bin-1827,58,1,1
bin-1828,58,1,1
bin-1829,58,0,0
bin-1830,58,1,1
bin-1831,58,5,5
bin-1843,58,3,3
bin-1844,58,3,3
bin-1845,58,3,3
bin-1846,58,3,3
bin-1847,58,3,3
bin-1848,58,3,3
bin-1849,58,3,3
bin-1850,58,3,3
bin-1851,58,3,3
bin-1852,58,3,3
bin-1853,58,3,3
bin-1854,58,3,3
bin-1855,58,3,3
bin-1864,58,36,36
bin-1865,58,4,4
bin-1866,58,23,23
bin-1867,58,4,4
bin-1868,58,12,12
bin-1869,58,32,32
bin-1870,58,5,5
bin-1871,58,1,1
bin-1872,58,1,1
bin-1873,58,5,5
bin-1874,58,1,1
bin-1875,58,14,14
bin-1876,58,1,1
bin-1877,58,1,1
bin-1878,58,1,1
bin-1879,58,1,1
bin-1880,58,11,11
bin-1892,58,3,3
bin-1893,58,3,3
bin-1894,58,3,3
bin-1895,58,3,3
bin-1896,58,3,3
bin-1897,58,3,3
bin-1898,58,3,3
bin-1899,58,3,3
bin-1900,58,3,3
bin-1901,58,3,3
bin-1902,58,3,3
bin-1903,58,3,3
bin-1904,58,3,3
bin-1915,58,23,23
bin-1916,58,1,1
bin-1917,58,1,1
bin-1918,58,1,1
bin-1919,58,1,1
bin-1920,58,1,1
bin-1921,58,1,1
bin-1922,58,1,1
bin-1923,58,1,1
bin-1924,58,4,4
bin-1925,58,1,1
bin-1926,58,1,1
bin-1927,58,1,1
bin-1928,58,1,1
bin-1929,58,1,1
bin-1930,58,5,5
bin-1941,58,3,3
bin-1942,58,3,3
bin-1943,58,3,3
bin-1944,58,3,3
bin-1945,58,3,3
bin-1946,58,3,3
bin-1947,58,3,3
bin-1948,58,3,3
bin-1949,58,3,3
bin-1950,58,3,3
bin-1951,58,3,3
bin-1952,58,3,3
bin-1953,58,3,3
bin-1965,58,5,5
bin-1966,58,1,1
bin-1967,58,4,4
bin-1968,58,4,4
bin-1969,58,4,4
bin-1970,58,1,1
bin-1971,58,1,1
bin-1972,58,1,1
bin-1973,58,1,1
bin-1974,58,1,1
bin-1975,58,1,1
bin-1976,58,21,21
bin-1977,58,4,4
bin-1978,58,1,1
bin-1979,58,41,41
bin-1990,58,3,3
bin-1991,58,3,3
bin-1992,58,3,3
bin-1993,58,3,3
bin-1994,58,3,3
bin-1995,58,3,3
bin-1996,58,3,3
bin-1997,58,3,3
bin-1998,58,3,3
bin-1999,58,3,3
bin-2000,58,3,3
bin-2001,58,3,3
bin-2002,58,3,3
bin-2015,58,6,6
bin-2016,58,4,4
bin-2017,58,1,1
bin-2018,58,1,1
bin-2019,58,1,1
bin-2020,58,12,12
bin-2021,58,1,1
bin-2022,58,1,1
bin-2023,58,1,1
bin-2024,58,1,1
bin-2025,58,13,13
bin-2026,58,1,1
bin-2027,58,1,1
bin-2028,58,5,5
bin-2029,58,5,5
bin-2039,58,5,5
bin-2040,58,3,3
bin-2041,58,3,3
bin-2042,58,3,3
bin-2043,58,3,3
bin-2044,58,3,3
bin-2045,58,3,3
bin-2046,58,3,3
bin-2047,58,3,3
bin-2048,58,3,3
bin-2049,58,3,3
bin-2050,58,3,3
bin-2051,58,3,3
bin-2064,58,39,39
bin-2065,58,4,4
bin-2066,58,1,1
bin-2067,58,1,1
bin-2068,58,1,1
bin-2069,58,1,1
bin-2070,58,1,1
bin-2071,58,1,1
bin-2072,58,4,4
bin-2073,58,4,4
bin-2074,58,1,1
bin-2075,58,1,1
bin-2076,58,1,1
bin-2077,58,5,5
bin-2078,58,5,5
bin-2079,58,11,11
bin-2080,58,5,5
bin-2090,58,11,11
bin-2091,58,3,3
bin-2092,58,3,3
bin-2093,58,3,3
bin-2094,58,3,3
bin-2095,58,3,3
bin-2096,58,3,3
bin-2097,58,3,3
bin-2098,58,3,3
bin-2099,58,3,3
bin-2100,58,5,5
bin-2114,58,1,1
bin-2115,58,1,1
bin-2116,58,30,30
bin-2117,58,1,1
bin-2118,58,1,1
bin-2119,58,1,1
bin-2120,58,9,9
bin-2121,58,38,38
bin-2122,58,1,1
bin-2123,58,1,1
bin-2124,58,1,1
bin-2125,58,1,1
bin-2126,58,5,5
bin-2127,58,1,1
bin-2128,58,1,1
bin-2129,58,16,16
bin-2130,58,5,5
bin-2131,58,5,5
bin-2163,58,12,12
bin-2164,58,5,5
bin-2165,58,4,4
bin-2166,58,4,4
bin-2167,58,1,1
bin-2168,58,1,1
